,ensembl_gene_id,hgnc_symbol,gene_biotype,external_gene_name
92,ENSG00000263275,,lncRNA,
93,ENSG00000273510,KIR2DL1,protein_coding,KIR2DL1
94,ENSG00000262299,,unprocessed_pseudogene,
95,ENSG00000280460,,TEC,
96,ENSG00000262767,GEMIN2P1,processed_pseudogene,GEMIN2P1
97,ENSG00000275786,KIR3DL1,protein_coding,KIR3DL1
98,ENSG00000274714,KIR2DS4,protein_coding,KIR2DS4
99,ENSG00000274574,,snRNA,U1
100,ENSG00000261992,GATAD2B,protein_coding,GATAD2B
101,ENSG00000282507,,lncRNA,
102,ENSG00000273990,RNVU1-26,snRNA,RNVU1-26
103,ENSG00000277334,NCR1,protein_coding,NCR1
104,ENSG00000273757,RNVU1-2A,snRNA,RNVU1-2A
105,ENSG00000277650,KIR2DS5,protein_coding,KIR2DS5
106,ENSG00000273661,KIR2DL2,protein_coding,KIR2DL2
107,ENSG00000277355,KIR2DL4,protein_coding,KIR2DL4
108,ENSG00000275047,KIR2DS5,protein_coding,KIR2DS5
109,ENSG00000274807,KIR2DS4,protein_coding,KIR2DS4
110,ENSG00000274696,KIR3DL3,protein_coding,KIR3DL3
111,ENSG00000282469,LINC00254,lncRNA,LINC00254
112,ENSG00000274271,LILRP1,unprocessed_pseudogene,LILRP1
113,ENSG00000275511,KIR3DL2,protein_coding,KIR3DL2
114,ENSG00000276333,HS3ST6,protein_coding,HS3ST6
115,ENSG00000274676,KIR2DL5A,protein_coding,KIR2DL5A
116,ENSG00000275237,KIR2DL4,protein_coding,KIR2DL4
117,ENSG00000277078,KIR2DS4,protein_coding,KIR2DS4
118,ENSG00000282650,MEIOB,lncRNA,MEIOB
119,ENSG00000275659,KIR3DL1,protein_coding,KIR3DL1
120,ENSG00000263130,,lncRNA,
121,ENSG00000273575,KIR2DL4,protein_coding,KIR2DL4
122,ENSG00000263163,SLC27A3,protein_coding,SLC27A3
123,ENSG00000282069,LINC02124,lncRNA,LINC02124
124,ENSG00000275407,KIR2DL2,protein_coding,KIR2DL2
125,ENSG00000274826,LILRP2,transcribed_processed_pseudogene,LILRP2
126,ENSG00000278805,KIR2DL1,protein_coding,KIR2DL1
127,ENSG00000275699,KIR2DL4,protein_coding,KIR2DL4
128,ENSG00000277345,KIR2DS4,protein_coding,KIR2DS4
129,ENSG00000274324,KIR2DS4,protein_coding,KIR2DS4
130,ENSG00000276820,KIR2DL1,protein_coding,KIR2DL1
131,ENSG00000276423,KIR3DL1,protein_coding,KIR3DL1
132,ENSG00000281738,LINC01839,lncRNA,LINC01839
133,ENSG00000274130,,unprocessed_pseudogene,
134,ENSG00000276424,KIR3DL2,protein_coding,KIR3DL2
135,ENSG00000273526,KIR2DS4,protein_coding,KIR2DS4
136,ENSG00000274193,KIR2DL4,protein_coding,KIR2DL4
137,ENSG00000278306,KIR2DS3,protein_coding,KIR2DS3
138,ENSG00000278345,,unprocessed_pseudogene,
139,ENSG00000276328,KIR3DL3,protein_coding,KIR3DL3
140,ENSG00000281250,LINC02054,lncRNA,LINC02054
141,ENSG00000278731,KIR2DL2,protein_coding,KIR2DL2
142,ENSG00000274782,KIR2DL1,protein_coding,KIR2DL1
143,ENSG00000275080,KIR2DL1,protein_coding,KIR2DL1
144,ENSG00000275433,KIR3DL3,protein_coding,KIR3DL3
145,ENSG00000275732,KIR2DL4,protein_coding,KIR2DL4
146,ENSG00000277620,KIR3DL3,protein_coding,KIR3DL3
147,ENSG00000273738,FCAR,protein_coding,FCAR
148,ENSG00000280830,ADI1,protein_coding,ADI1
149,ENSG00000274891,TRAPPC12,protein_coding,TRAPPC12
150,ENSG00000274948,KIR3DL1,protein_coding,KIR3DL1
151,ENSG00000262647,OR9G4,protein_coding,OR9G4
152,ENSG00000281107,OR5G3,protein_coding,OR5G3
153,ENSG00000262268,OR9G3P,unprocessed_pseudogene,OR9G3P
154,ENSG00000281313,OR5G1P,unprocessed_pseudogene,OR5G1P
155,ENSG00000281279,OR5G4P,unprocessed_pseudogene,OR5G4P
156,ENSG00000275018,,protein_coding,
157,ENSG00000281777,OR9G2P,unprocessed_pseudogene,OR9G2P
158,ENSG00000261958,OR9G1,protein_coding,OR9G1
159,ENSG00000281683,,processed_pseudogene,
160,ENSG00000278625,,snRNA,U6
161,ENSG00000262191,OR9G9,protein_coding,OR9G9
162,ENSG00000277742,KIR3DP1,unprocessed_pseudogene,KIR3DP1
163,ENSG00000274851,KIR2DP1,unprocessed_pseudogene,KIR2DP1
164,ENSG00000281839,LINC02735,lncRNA,LINC02735
165,ENSG00000275938,KIR2DS4,unprocessed_pseudogene,KIR2DS4
166,ENSG00000273688,KIR3DP1,unprocessed_pseudogene,KIR3DP1
167,ENSG00000262535,OR5G5P,transcribed_unprocessed_pseudogene,OR5G5P
168,ENSG00000277570,LILRP1,unprocessed_pseudogene,LILRP1
169,ENSG00000290500,,lncRNA,
170,ENSG00000276306,,unprocessed_pseudogene,
171,ENSG00000274955,KIR2DL4,protein_coding,KIR2DL4
172,ENSG00000277317,KIR2DL3,protein_coding,KIR2DL3
173,ENSG00000280770,,lncRNA,
174,ENSG00000262994,,processed_pseudogene,
175,ENSG00000277070,LILRP1,transcribed_unprocessed_pseudogene,LILRP1
176,ENSG00000281723,,lncRNA,
177,ENSG00000276974,,unprocessed_pseudogene,
178,ENSG00000269823,,protein_coding,
179,ENSG00000276676,KIR2DS5,protein_coding,KIR2DS5
180,ENSG00000278325,LILRP1,unprocessed_pseudogene,LILRP1
181,ENSG00000276930,KIR3DL3,protein_coding,KIR3DL3
182,ENSG00000262710,,misc_RNA,Y_RNA
183,ENSG00000275289,LILRP2,transcribed_processed_pseudogene,LILRP2
184,ENSG00000262469,,misc_RNA,Y_RNA
185,ENSG00000277616,KIR2DL1,protein_coding,KIR2DL1
186,ENSG00000277376,KIR2DP1,unprocessed_pseudogene,KIR2DP1
187,ENSG00000276295,,misc_RNA,Metazoa_SRP
188,ENSG00000274163,KIR3DP1,unprocessed_pseudogene,KIR3DP1
189,ENSG00000275531,,misc_RNA,Metazoa_SRP
190,ENSG00000274842,LILRP2,transcribed_processed_pseudogene,LILRP2
191,ENSG00000276258,KIR2DS2,protein_coding,KIR2DS2
192,ENSG00000273881,LILRP1,unprocessed_pseudogene,LILRP1
193,ENSG00000277940,,unprocessed_pseudogene,
194,ENSG00000276086,KIR3DL3,protein_coding,KIR3DL3
195,ENSG00000275946,KIR2DL5B,protein_coding,KIR2DL5B
196,ENSG00000278369,KIR2DL3,protein_coding,KIR2DL3
197,ENSG00000274406,KIR2DS4,protein_coding,KIR2DS4
198,ENSG00000274189,KIR2DL4,protein_coding,KIR2DL4
199,ENSG00000277725,KIR2DL2,protein_coding,KIR2DL2
200,ENSG00000275276,KIR2DL1,protein_coding,KIR2DL1
201,ENSG00000274722,KIR3DL2,protein_coding,KIR3DL2
202,ENSG00000278051,KIR3DP1,unprocessed_pseudogene,KIR3DP1
203,ENSG00000278850,KIR3DL2,protein_coding,KIR3DL2
204,ENSG00000276197,,misc_RNA,
205,ENSG00000274917,RNA5-8SN5,rRNA,RNA5-8SN5
206,ENSG00000273730,,rRNA,5_8S_rRNA
207,ENSG00000273937,,misc_RNA,
208,ENSG00000276501,KIR3DL1,protein_coding,KIR3DL1
209,ENSG00000276329,KIR3DL1,protein_coding,KIR3DL1
210,ENSG00000274707,KIR2DL5B,protein_coding,KIR2DL5B
211,ENSG00000275521,NCR1,protein_coding,NCR1
212,ENSG00000275288,KIR3DL1,protein_coding,KIR3DL1
213,ENSG00000274120,LILRP2,transcribed_processed_pseudogene,LILRP2
214,ENSG00000282534,IMPDH1P5,processed_pseudogene,IMPDH1P5
215,ENSG00000278710,KIR3DL2,protein_coding,KIR3DL2
216,ENSG00000274429,DLG5,protein_coding,DLG5
217,ENSG00000276425,KIR2DS2,protein_coding,KIR2DS2
218,ENSG00000275421,KIR2DS1,protein_coding,KIR2DS1
219,ENSG00000273603,KIR2DS1,protein_coding,KIR2DS1
220,ENSG00000275172,KIR3DL3,protein_coding,KIR3DL3
221,ENSG00000276035,KIR3DP1,unprocessed_pseudogene,KIR3DP1
222,ENSG00000274830,KIR2DL3,protein_coding,KIR2DL3
223,ENSG00000275596,KIR2DL5A,protein_coding,KIR2DL5A
224,ENSG00000280271,,lncRNA,
225,ENSG00000276001,LILRP1,unprocessed_pseudogene,LILRP1
226,ENSG00000277964,KIR2DL4,protein_coding,KIR2DL4
227,ENSG00000279566,ZNF43,protein_coding,ZNF43
228,ENSG00000273922,LILRP2,transcribed_processed_pseudogene,LILRP2
229,ENSG00000279614,,processed_pseudogene,
230,ENSG00000281763,DHX36,protein_coding,DHX36
231,ENSG00000276004,KIR3DL2,protein_coding,KIR3DL2
232,ENSG00000274746,ZNF100,protein_coding,ZNF100
233,ENSG00000275608,KIR3DS1,protein_coding,KIR3DS1
234,ENSG00000274009,,unprocessed_pseudogene,
235,ENSG00000274942,KIR2DP1,unprocessed_pseudogene,KIR2DP1
236,ENSG00000273518,KIR3DL1,protein_coding,KIR3DL1
237,ENSG00000278474,KIR3DL2,protein_coding,KIR3DL2
238,ENSG00000279280,CCNYL6,processed_pseudogene,CCNYL6
239,ENSG00000276999,,unprocessed_pseudogene,
240,ENSG00000279112,BRI3BPP1,transcribed_processed_pseudogene,BRI3BPP1
241,ENSG00000280218,VN1R84P,unprocessed_pseudogene,VN1R84P
242,ENSG00000275051,PIWIL1,protein_coding,PIWIL1
243,ENSG00000280066,MTDHP4,processed_pseudogene,MTDHP4
244,ENSG00000274106,,unprocessed_pseudogene,
245,ENSG00000277976,KRT18P40,unprocessed_pseudogene,KRT18P40
246,ENSG00000279974,,lncRNA,
247,ENSG00000278780,ZNF430,protein_coding,ZNF430
248,ENSG00000273517,KIR2DS1,protein_coding,KIR2DS1
249,ENSG00000276985,FCAR,protein_coding,FCAR
250,ENSG00000277193,KIR2DS3,protein_coding,KIR2DS3
251,ENSG00000274449,,lncRNA,
252,ENSG00000276392,KIR2DL5A,protein_coding,KIR2DL5A
253,ENSG00000279318,,TEC,
254,ENSG00000278755,KIR2DL1,protein_coding,KIR2DL1
255,ENSG00000277101,ARHGEF26,protein_coding,ARHGEF26
256,ENSG00000276099,LILRP1,unprocessed_pseudogene,LILRP1
257,ENSG00000273578,KIR2DL2,protein_coding,KIR2DL2
258,ENSG00000278091,ZNF85,protein_coding,ZNF85
259,ENSG00000273502,KIR3DL3,protein_coding,KIR3DL3
260,ENSG00000273887,KIR2DL3,protein_coding,KIR2DL3
261,ENSG00000276498,KIR3DS1,protein_coding,KIR3DS1
262,ENSG00000276450,NCR1,protein_coding,NCR1
263,ENSG00000274480,KIR3DL3,protein_coding,KIR3DL3
264,ENSG00000275112,LILRP1,unprocessed_pseudogene,LILRP1
265,ENSG00000274518,KIR2DS2,protein_coding,KIR2DS2
266,ENSG00000275970,FCAR,protein_coding,FCAR
267,ENSG00000276013,,unprocessed_pseudogene,
268,ENSG00000276806,KIR3DL3,protein_coding,KIR3DL3
269,ENSG00000274945,KIR2DL4,protein_coding,KIR2DL4
270,ENSG00000274724,KIR3DL3,protein_coding,KIR3DL3
271,ENSG00000276218,KIR2DL3,protein_coding,KIR2DL3
272,ENSG00000277362,KIR2DL4,protein_coding,KIR2DL4
273,ENSG00000276590,KIR2DL3,protein_coding,KIR2DL3
274,ENSG00000267728,KRTAP9-9,protein_coding,KRTAP9-9
275,ENSG00000275750,KIR2DL1,protein_coding,KIR2DL1
276,ENSG00000263090,KRTAP9-2,protein_coding,KRTAP9-2
277,ENSG00000262512,KRTAP9-4,protein_coding,KRTAP9-4
278,ENSG00000262749,KRTAP9-3,protein_coding,KRTAP9-3
279,ENSG00000263103,KRTAP9-10P,unprocessed_pseudogene,KRTAP9-10P
280,ENSG00000273522,KIR2DP1,unprocessed_pseudogene,KIR2DP1
281,ENSG00000267635,,protein_coding,
282,ENSG00000267208,,unprocessed_pseudogene,
283,ENSG00000278726,KIR3DL2,protein_coding,KIR3DL2
284,ENSG00000262218,KRTAP29-1,protein_coding,KRTAP29-1
285,ENSG00000278329,KIR2DP1,unprocessed_pseudogene,KIR2DP1
286,ENSG00000274108,KIR2DL3,protein_coding,KIR2DL3
287,ENSG00000275452,KIR2DS2,protein_coding,KIR2DS2
288,ENSG00000275321,,unprocessed_pseudogene,
289,ENSG00000278339,KIR2DP1,unprocessed_pseudogene,KIR2DP1
290,ENSG00000280428,BNIP3P24,processed_pseudogene,BNIP3P24
291,ENSG00000277356,KIR2DL1,protein_coding,KIR2DL1
292,ENSG00000280030,,lncRNA,
293,ENSG00000275050,ZNF66,protein_coding,ZNF66
294,ENSG00000278079,KIR3DL1,protein_coding,KIR3DL1
295,ENSG00000276247,LILRP2,transcribed_processed_pseudogene,LILRP2
296,ENSG00000277596,KIR3DL3,protein_coding,KIR3DL3
297,ENSG00000275815,KIR2DP1,unprocessed_pseudogene,KIR2DP1
298,ENSG00000281157,ARHGEF26-AS1,lncRNA,ARHGEF26-AS1
299,ENSG00000278327,KIR2DL3,protein_coding,KIR2DL3
300,ENSG00000275059,,unprocessed_pseudogene,
301,ENSG00000274610,KIR3DP1,protein_coding,KIR3DP1
302,ENSG00000274243,KIR2DS5,protein_coding,KIR2DS5
303,ENSG00000277551,,snRNA,U6
304,ENSG00000273755,LILRP2,transcribed_unprocessed_pseudogene,LILRP2
305,ENSG00000274563,KIR2DS5,protein_coding,KIR2DS5
306,ENSG00000278414,KIR2DL5B,protein_coding,KIR2DL5B
307,ENSG00000277963,LILRP2,transcribed_processed_pseudogene,LILRP2
308,ENSG00000290329,,lncRNA,
309,ENSG00000281020,SNTG2,protein_coding,SNTG2
310,ENSG00000275136,FCAR,protein_coding,FCAR
311,ENSG00000277176,KIR3DP1,transcribed_unprocessed_pseudogene,KIR3DP1
312,ENSG00000276552,,snRNA,U6
313,ENSG00000275269,FCAR,protein_coding,FCAR
314,ENSG00000290379,,lncRNA,
315,ENSG00000274556,KIR3DL3,protein_coding,KIR3DL3
316,ENSG00000277603,TPO,protein_coding,TPO
317,ENSG00000278442,KIR3DL2,protein_coding,KIR3DL2
318,ENSG00000278573,,pseudogene,
319,ENSG00000277196,PRODH,protein_coding,PRODH
320,ENSG00000273498,KIR2DL4,protein_coding,KIR2DL4
321,ENSG00000274912,KIR2DP1,unprocessed_pseudogene,KIR2DP1
322,ENSG00000277750,KIR2DL4,protein_coding,KIR2DL4
323,ENSG00000281496,,unprocessed_pseudogene,
324,ENSG00000276395,KIR2DS4,protein_coding,KIR2DS4
325,ENSG00000276938,FAM157A,lncRNA,FAM157A
326,ENSG00000276310,KIR2DL1,protein_coding,KIR2DL1
327,ENSG00000267237,,unprocessed_pseudogene,
328,ENSG00000277630,,protein_coding,
329,ENSG00000281577,,processed_pseudogene,
330,ENSG00000267639,,processed_pseudogene,
331,ENSG00000281503,,unprocessed_pseudogene,
332,ENSG00000274706,RNU6-821P,snRNA,RNU6-821P
333,ENSG00000278747,,snRNA,U6
334,ENSG00000281062,,transcribed_unprocessed_pseudogene,
335,ENSG00000290324,,lncRNA,
336,ENSG00000281617,,transcribed_unprocessed_pseudogene,
337,ENSG00000273794,KIR2DL1,protein_coding,KIR2DL1
338,ENSG00000278758,KIR3DL2,protein_coding,KIR3DL2
339,ENSG00000290333,ANKRD18DP,lncRNA,ANKRD18DP
340,ENSG00000273929,,snRNA,U6
341,ENSG00000281935,DNAH10,protein_coding,DNAH10
342,ENSG00000278817,,protein_coding,
343,ENSG00000276017,,protein_coding,
344,ENSG00000275262,KIR3DL2,protein_coding,KIR3DL2
345,ENSG00000278793,,snRNA,U6
346,ENSG00000276808,,unprocessed_pseudogene,
347,ENSG00000278190,,snRNA,U6
348,ENSG00000274786,KIR3DL3,protein_coding,KIR3DL3
349,ENSG00000281351,SUDS3P1,processed_pseudogene,SUDS3P1
350,ENSG00000280559,,lncRNA,
351,ENSG00000280647,,lncRNA,
352,ENSG00000274382,PROP1,protein_coding,PROP1
353,ENSG00000262573,KRTAP9-2,protein_coding,KRTAP9-2
354,ENSG00000263115,KRTAP9-10P,unprocessed_pseudogene,KRTAP9-10P
355,ENSG00000282480,,TEC,
356,ENSG00000276465,KIR2DS4,protein_coding,KIR2DS4
357,ENSG00000262896,KRTAP9-4,protein_coding,KRTAP9-4
358,ENSG00000282766,,TEC,
359,ENSG00000275422,,unprocessed_pseudogene,
360,ENSG00000282103,,lncRNA,DLGAP2
361,ENSG00000263263,KRTAP9-6,protein_coding,KRTAP9-6
362,ENSG00000275914,KIR2DL2,protein_coding,KIR2DL2
363,ENSG00000262221,KRTAP9-7,protein_coding,KRTAP9-7
364,ENSG00000281644,,lncRNA,
365,ENSG00000277392,KIR3DL3,protein_coding,KIR3DL3
366,ENSG00000262542,KRTAP29-1,protein_coding,KRTAP29-1
367,ENSG00000275795,,unprocessed_pseudogene,
368,ENSG00000277185,,unprocessed_pseudogene,
369,ENSG00000282347,,lncRNA,
370,ENSG00000282245,,lncRNA,
371,ENSG00000262214,KRTAP9-12P,unprocessed_pseudogene,KRTAP9-12P
372,ENSG00000282665,ERICH1,protein_coding,ERICH1
373,ENSG00000262946,KRTAP9-11P,unprocessed_pseudogene,KRTAP9-11P
374,ENSG00000278229,RPS17,protein_coding,RPS17
375,ENSG00000262594,KRTAP9-9,protein_coding,KRTAP9-9
376,ENSG00000280971,,lncRNA,
377,ENSG00000278666,,transcribed_unprocessed_pseudogene,
378,ENSG00000275937,KIR2DL5B,protein_coding,KIR2DL5B
379,ENSG00000278207,KIR2DL1,protein_coding,KIR2DL1
380,ENSG00000277885,KIR2DS2,protein_coding,KIR2DS2
381,ENSG00000276011,KIR2DL2,protein_coding,KIR2DL2
382,ENSG00000275629,KIR3DL2,protein_coding,KIR3DL2
383,ENSG00000277552,KIR3DL3,protein_coding,KIR3DL3
384,ENSG00000282606,CTDP1-DT,lncRNA,CTDP1-DT
385,ENSG00000276324,,unprocessed_pseudogene,
386,ENSG00000277240,LILRP1,unprocessed_pseudogene,LILRP1
387,ENSG00000290527,,lncRNA,
388,ENSG00000273955,KIR2DP1,unprocessed_pseudogene,KIR2DP1
389,ENSG00000281949,,lncRNA,
390,ENSG00000282330,,lncRNA,
391,ENSG00000275021,,snRNA,U6
392,ENSG00000281995,,lncRNA,
393,ENSG00000281775,FTCD,protein_coding,FTCD
394,ENSG00000278786,KIR3DP1,transcribed_unprocessed_pseudogene,KIR3DP1
395,ENSG00000281942,,lncRNA,
396,ENSG00000290428,,lncRNA,
397,ENSG00000278277,,protein_coding,
398,ENSG00000281513,,lncRNA,
399,ENSG00000281081,,lncRNA,
400,ENSG00000281464,,lncRNA,
401,ENSG00000282752,CTDP1,protein_coding,CTDP1
402,ENSG00000276994,,unprocessed_pseudogene,
403,ENSG00000278692,KIR2DL2,protein_coding,KIR2DL2
404,ENSG00000281048,,lncRNA,
405,ENSG00000282233,,lncRNA,
406,ENSG00000275735,KIR2DS2,protein_coding,KIR2DS2
407,ENSG00000274681,SUDS3P1,processed_pseudogene,SUDS3P1
408,ENSG00000280635,PROP1,protein_coding,PROP1
409,ENSG00000274947,KIR2DS4,protein_coding,KIR2DS4
410,ENSG00000282770,DLG5-AS1,lncRNA,DLG5-AS1
411,ENSG00000273546,LILRP1,unprocessed_pseudogene,LILRP1
412,ENSG00000275495,,transcribed_unprocessed_pseudogene,
413,ENSG00000275782,,snRNA,U6
414,ENSG00000282690,,lncRNA,
415,ENSG00000275035,CCDC92,protein_coding,CCDC92
416,ENSG00000276516,RN7SL284P,misc_RNA,RN7SL284P
417,ENSG00000276274,RNU6-1266P,snRNA,RNU6-1266P
418,ENSG00000274708,,snRNA,U6
419,ENSG00000276243,LILRP2,transcribed_processed_pseudogene,LILRP2
420,ENSG00000275848,KIR2DL4,protein_coding,KIR2DL4
421,ENSG00000276212,KIR3DP1,transcribed_unprocessed_pseudogene,KIR3DP1
422,ENSG00000277428,,misc_RNA,Y_RNA
423,ENSG00000276256,,protein_coding,
424,ENSG00000290528,,lncRNA,
425,ENSG00000274082,,unprocessed_pseudogene,
426,ENSG00000275168,,snRNA,U6
427,ENSG00000277560,KIR3DP1,unprocessed_pseudogene,KIR3DP1
428,ENSG00000275416,KIR3DL2,protein_coding,KIR3DL2
429,ENSG00000282596,DNM1P38,unprocessed_pseudogene,DNM1P38
430,ENSG00000281232,,lncRNA,
431,ENSG00000277354,CRIM1,protein_coding,CRIM1
432,ENSG00000290534,,lncRNA,
433,ENSG00000278476,RPL21P36,processed_pseudogene,RPL21P36
434,ENSG00000279215,CRIM1-DT,lncRNA,CRIM1-DT
435,ENSG00000277445,CPEB1,protein_coding,CPEB1
436,ENSG00000278833,,transcribed_processed_pseudogene,
437,ENSG00000278368,KIR3DL1,protein_coding,KIR3DL1
438,ENSG00000277850,KIR2DL4,protein_coding,KIR2DL4
439,ENSG00000278025,NCR1,protein_coding,NCR1
440,ENSG00000277153,RNU6-222P,snRNA,RNU6-222P
441,ENSG00000281753,,lncRNA,
442,ENSG00000280541,FTCD-AS1,lncRNA,FTCD-AS1
443,ENSG00000281289,LSS,protein_coding,LSS
444,ENSG00000276459,KIR2DL3,protein_coding,KIR2DL3
445,ENSG00000278248,KIR2DL1,protein_coding,KIR2DL1
446,ENSG00000263270,,lncRNA,
447,ENSG00000281954,,lncRNA,
448,ENSG00000274465,KIR3DS1,protein_coding,KIR3DS1
449,ENSG00000279389,GARRE1,protein_coding,GARRE1
450,ENSG00000263322,,lncRNA,
451,ENSG00000275517,PRB1,protein_coding,PRB1
452,ENSG00000262892,,processed_pseudogene,
453,ENSG00000262634,SKA1,protein_coding,SKA1
454,ENSG00000273918,,unprocessed_pseudogene,
455,ENSG00000274957,KIR2DS4,protein_coding,KIR2DS4
456,ENSG00000282112,DSEL-AS1,lncRNA,DSEL-AS1
457,ENSG00000262102,DSEL,protein_coding,DSEL
458,ENSG00000262860,LSM14A,protein_coding,LSM14A
459,ENSG00000278070,GOLGA8DP,unprocessed_pseudogene,GOLGA8DP
460,ENSG00000282220,,lncRNA,
461,ENSG00000278614,KIR2DP1,unprocessed_pseudogene,KIR2DP1
462,ENSG00000279612,,TEC,
463,ENSG00000278430,KIR2DL4,protein_coding,KIR2DL4
464,ENSG00000280679,,unprocessed_pseudogene,
